source,target,context,text_index
olalala,oh là là,olalala insulte volée à ta mère,1570
adiren,à dire,adiren comme preuve lol,1571
temoin,témoin,On a UN temoin,1573
tringler,faire l'amour,Adrien qui veut te tringler,1574
tres,très,pas tres fiable,1575
ptn,putain,ptn mais t'es né d'un gangbang ou quoi,1577
ptn,putain,ptn de triso,1578
triso,trisomique,ptn de triso,1578
pitie,pitié,tu fais pitie sophie  si ton mec te veux plus bah tu degage,1579
degage,dégage,tu fais pitie sophie  si ton mec te veux plus bah tu degage,1579
archi,vraiment,Une personne c'est archi pas une preuve,1581
ft,facetime,On est deux en ft,1583
frere,frère,mais michel frere tas vu ton prénom pour commencé,1584
tas,t'as,mais michel frere tas vu ton prénom pour commencé,1584
jai,j'ai,jai la preuvve !!!,1587
preuvve,preuve,jai la preuvve !!!,1587
mm,même,Mais Lisa t'étais mm pas au voyage,1588
fiilees,filles,sophie saute des fiilees,1589
mm,même,Je suis mm pas rousse putain,1593
ml'as,m'as,tu ml'as photoshopée,1594
ta,t'a,on ta pris en photo,1595
jvais,je vais,jvais te soulever,1600
javoue,j'avoue,javoue lisa ty a pense cest meiux que sucer nempeche ca paye pas bien,1603
ty,tu y,javoue lisa ty a pense cest meiux que sucer nempeche ca paye pas bien,1603
cest,c'est,javoue lisa ty a pense cest meiux que sucer nempeche ca paye pas bien,1603
meiux,mieux,javoue lisa ty a pense cest meiux que sucer nempeche ca paye pas bien,1603
nempeche,n'empêche,javoue lisa ty a pense cest meiux que sucer nempeche ca paye pas bien,1603
ca,ça,javoue lisa ty a pense cest meiux que sucer nempeche ca paye pas bien,1603
mtn,maintenant,elles sont toutes dans un cercueil mtn on sdemande pq,1608
sdemande,se demande,elles sont toutes dans un cercueil mtn on sdemande pq,1608
pq,pourquoi,elles sont toutes dans un cercueil mtn on sdemande pq,1608
taime,tu aimes,bah taime ca non silvia ?,1610
ca,ça,bah taime ca non silvia ?,1610
en au,en haut,Sylvia demain je te balaye en au  des marches,1611
peter,péter,demain lucas va peter un cable,1612
cable,câble,demain lucas va peter un cable,1612
qqch,quelque chose,Sohpie fais qqch là,1613
nempeche,n'empêche,nempeche ca se fait pas  digne d'une pute,1614
ca,ça,nempeche ca se fait pas  digne d'une pute,1614
stp,s'il te plaît,Mais d'où je suis morte stp,1617
ya,il y a,regarde par la fenêtre ya adrien,1619
