source,target,context,text_index
etes,êtes,vous etes tous des merdes,5400
pt,péter,elle vas faire pt t'es mort tu vas voir remake des tours jumelles dans ton bat,5402
bat,bâtiment,elle vas faire pt t'es mort tu vas voir remake des tours jumelles dans ton bat,5402
djiadiste,djihadiste,"aller c'est partie, pour toi tous les musulman sont des djiadiste ? le niveau quoi",5403
la,là,Oh calme toi la,5404
mdrr,mdr,grave mdrr elle est tellement sale que même les algériens ils veulent pas d'elle,5405
arrete,arrête,et fatimah arrete de trainer avec les gars qu'est qui trouve de beau chez toi serieux,5406
trainer,traîner,et fatimah arrete de trainer avec les gars qu'est qui trouve de beau chez toi serieux,5406
serieux,sérieux,et fatimah arrete de trainer avec les gars qu'est qui trouve de beau chez toi serieux,5406
:'),rire aux larmes,bah oui t'es une bombe à retardement :'),5407
tg,ta gueule,tg c'est toi qui pue leo tu joue a lol frère me parle pas de douche,5409
a,à,tg c'est toi qui pue leo tu joue a lol frère me parle pas de douche,5409
cheum,moche,j'avoue elle est cheum,5410
leo,léo,leo taimerai quon parle de ta mere comme sa,5411
taimerai,tu aimerais,leo taimerai quon parle de ta mere comme sa,5411
quon,qu'on,leo taimerai quon parle de ta mere comme sa,5411
mere,mère,leo taimerai quon parle de ta mere comme sa,5411
sa,ça,leo taimerai quon parle de ta mere comme sa,5411
nan,non,nan mais fatimah t juste une conne et une voleuse de petits amis,5412
t,tu es,nan mais fatimah t juste une conne et une voleuse de petits amis,5412
frr,frère,julie elle est pas jalouse frr tu met de la merde sur t doit tu crois elle vas te jalousé,5413
t,tes,julie elle est pas jalouse frr tu met de la merde sur t doit tu crois elle vas te jalousé,5413
doit,doigts,julie elle est pas jalouse frr tu met de la merde sur t doit tu crois elle vas te jalousé,5413
vas,va,julie elle est pas jalouse frr tu met de la merde sur t doit tu crois elle vas te jalousé,5413
ta,tu as,ta la coupe a Many dans l'age de glace parle pas,5416
a,à,ta la coupe a Many dans l'age de glace parle pas,5416
mdr,mort de rire,Leo68 c'est un compliment MDR ?,5417
fdp,fils de pute,oh fermez vos gueule bande de fdp vous parlez trop,5419
tg,ta gueule,tg pierre,5420
la,là,tes parent immigres la retourne dans ton pays,5423
sucider,suicider,kate93 vas te sucider,5425
grv,grave,grv mdrr paul il a trop raison,5426
mdrr,mdr,grv mdrr paul il a trop raison,5426
oe,ouais,Oe c super bon les fraises Sandrine12,5427
c,c'est,Oe c super bon les fraises Sandrine12,5427
cous,vous,C'est surtoutvous kate93 et julie !! cous etes des rasiste j'ai vue la conv sur Watsapp,5428
etes,êtes,C'est surtoutvous kate93 et julie !! cous etes des rasiste j'ai vue la conv sur Watsapp,5428
rasiste,raciste,C'est surtoutvous kate93 et julie !! cous etes des rasiste j'ai vue la conv sur Watsapp,5428
vue,vu,C'est surtoutvous kate93 et julie !! cous etes des rasiste j'ai vue la conv sur Watsapp,5428
conv,conversation,C'est surtoutvous kate93 et julie !! cous etes des rasiste j'ai vue la conv sur Watsapp,5428
watsapp,whatsapp,C'est surtoutvous kate93 et julie !! cous etes des rasiste j'ai vue la conv sur Watsapp,5428
ca,ça,comment ca va te sucider tu veux jte ntm ou quoi,5429
sucider,suicider,comment ca va te sucider tu veux jte ntm ou quoi,5429
jte,je te,comment ca va te sucider tu veux jte ntm ou quoi,5429
ntm,nique ta mère,comment ca va te sucider tu veux jte ntm ou quoi,5429
pk,pourquoi,et toi pk tu voles les petits amis et tu fais chier tout le monde,5431
nan,non,nan elles sont honnête frr  puis tg arrête de parler une langue qui ne vient pas de ton pays d'immigrés fatima la sale,5435
frr,frère,nan elles sont honnête frr  puis tg arrête de parler une langue qui ne vient pas de ton pays d'immigrés fatima la sale,5435
tg,ta gueule,nan elles sont honnête frr  puis tg arrête de parler une langue qui ne vient pas de ton pays d'immigrés fatima la sale,5435
toiiii,toi,tu comprends pas que personne veux de toiiii,5436
arretez,arrêtez,arretez les propos racistes ça sert à rien,5438
veut,veux,Je ne vois pas en quoi je vole amis ?? je suis comme tous le monde j'ai le droit de faire ce que je veut ?? Si tu en as pas c'est ton soucis pas le mien,5440
quon,qu'on,vous voulez pas quon organise une sortit pour vous calmer,5442
sortit,sortie,vous voulez pas quon organise une sortit pour vous calmer,5442
pepon,répondre,je suis obliger de pepon ton père car ta salope de mère est pas capable de le faire paul83,5443
t,t'es,nana mais fatimah t laide tu plaies a personne,5444
plaies,plais,nana mais fatimah t laide tu plaies a personne,5444
a,à,nana mais fatimah t laide tu plaies a personne,5444
wsh,wesh,mais arrête de toucher les mecs avec tes doigts crades wsh,5445
etre,être,"ça te pose un soucis, par ce que Kate c'est mieux peut etre ? fatimah c'est trés jolie et je suis fiere de porté ce prénom",5446
trés,très,"ça te pose un soucis, par ce que Kate c'est mieux peut etre ? fatimah c'est trés jolie et je suis fiere de porté ce prénom",5446
fiere,fière,"ça te pose un soucis, par ce que Kate c'est mieux peut etre ? fatimah c'est trés jolie et je suis fiere de porté ce prénom",5446
ftg,ferme ta gueule,ftg julie retourne en schimio,5447
schimio,chimio,ftg julie retourne en schimio,5447
deja,déjà,bah kate c'est deja plus francais quoi ptdrrr,5448
francais,français,bah kate c'est deja plus francais quoi ptdrrr,5448
ptdrrr,mort de rire,bah kate c'est deja plus francais quoi ptdrrr,5448
bnande,bande,pierre va avec ton immigré et tais toi bnande de crades,5449
bsahtek,bravo,bsahtek on ta pas demander si t'etait fier de porter ton prenom ont s'en blc,5452
ta,t'a,bsahtek on ta pas demander si t'etait fier de porter ton prenom ont s'en blc,5452
t'etait,tu étais,bsahtek on ta pas demander si t'etait fier de porter ton prenom ont s'en blc,5452
blc,on s'en bat les couilles,bsahtek on ta pas demander si t'etait fier de porter ton prenom ont s'en blc,5452
grvvv,grave,grvvv mdr tg l'immigré,5454
tg,ta gueule,grvvv mdr tg l'immigré,5454
a,à,vraiment fatimah tu casses les couilles a tout  le monde,5456
jadore,j'adore,fatimah ils sont beaux tes doigts jadore,5459
defendre,défendre,comment des gens peuvent te defendre,5460
arrete,arrête,paul83 arrete d'etre le chienchien de Kate et Julie et réfléchie par toi meme un peu,5462
d'etre,d'être,paul83 arrete d'etre le chienchien de Kate et Julie et réfléchie par toi meme un peu,5462
meme,même,paul83 arrete d'etre le chienchien de Kate et Julie et réfléchie par toi meme un peu,5462
suceuse,salope,sandrine suceuse,5463
ptdrr,ptdr,ptdrr pierre est sexiste mais il nous traite de rasciste,5464
tg,ta gueule,mais tg toi,5465
sa,ça,paul comment tu peux me dire sa,5466
laime,l'aime,bah nan paul je laime trop,5467
grv,grave,grv paul elle aime en manger hein,5468
rasiste,raciste,julie Les gens logique ! ceux qui ne sont pas rasiste et qui ne vivent pas dans des peures inventé,5469
peures,peurs,julie Les gens logique ! ceux qui ne sont pas rasiste et qui ne vivent pas dans des peures inventé,5469
oue,oui,oue jadore manger paul,5470
