source,target,context,text_index
tamr,ta mère,bon fatima retournes chez tamr pleurer,506
ftg,ferme ta gueule,theo ftg vrm tu sers à r,507
vrm,vraiment,theo ftg vrm tu sers à r,507
r,rien,theo ftg vrm tu sers à r,507
t,tu es,t tellement peu cultiver que t meme pas au courant des consequences de sque tu fais,508
t,tu es,t tellement peu cultiver que t meme pas au courant des consequences de sque tu fais,508
meme,même,t tellement peu cultiver que t meme pas au courant des consequences de sque tu fais,508
sque,ce que,t tellement peu cultiver que t meme pas au courant des consequences de sque tu fais,508
t,t'es,quand t es meme pas majeurs*,509
meme,même,quand t es meme pas majeurs*,509
la,là,avec ton accent la,510
degun,personne,la vie t'es explosé la tu peux gérer degun,511
jvais,je vais,jvais me suicider tu vas voir si vous allez rien avoir,512
ecrit,écris,ecrit francais et tu viendra me parler culture' mdrr,514
francais,français,ecrit francais et tu viendra me parler culture' mdrr,514
culture',culture,ecrit francais et tu viendra me parler culture' mdrr,514
mdrr,mdr,ecrit francais et tu viendra me parler culture' mdrr,514
y'a,il y a,teresa tu parles de culture mais chez toi y'a même pas accès à l'eau alors à l'ecole........ et ça se fait ressentir,515
l'ecole,l'école,teresa tu parles de culture mais chez toi y'a même pas accès à l'eau alors à l'ecole........ et ça se fait ressentir,515
........,...,teresa tu parles de culture mais chez toi y'a même pas accès à l'eau alors à l'ecole........ et ça se fait ressentir,515
voila,voilà,voila sucide toi donc teresa ta bien ouvert ta guele pour rien,516
sucide,suicide,voila sucide toi donc teresa ta bien ouvert ta guele pour rien,516
ta,tu as,voila sucide toi donc teresa ta bien ouvert ta guele pour rien,516
guele,gueule,voila sucide toi donc teresa ta bien ouvert ta guele pour rien,516
efer,enfer,vous irez en efer enfer*,518
vs,vous,vs etes serieux ? vs aimerais quon vs dises sa ?,520
vs,vous,vs etes serieux ? vs aimerais quon vs dises sa ?,520
quon,qu'on,vs etes serieux ? vs aimerais quon vs dises sa ?,520
vs,vous,vs etes serieux ? vs aimerais quon vs dises sa ?,520
sa,ça,vs etes serieux ? vs aimerais quon vs dises sa ?,520
oe,ouais,oe pure merde,522
niveauxxxxxxx,niveaux,wouah le niveauxxxxxxx,524
bled,pays d'origine,avec vos habits du bled la cassez vous,526
la,là,avec vos habits du bled la cassez vous,526
mdrr,mort de rire,mdrr c clair l odeur infecte,527
c,c'est,mdrr c clair l odeur infecte,527
l,l',mdrr c clair l odeur infecte,527
oo,oh,oo tg pierre me fais pas chier jmen blc de ta vie franchement,528
tg,ta gueule,oo tg pierre me fais pas chier jmen blc de ta vie franchement,528
jmen,je m'en,oo tg pierre me fais pas chier jmen blc de ta vie franchement,528
blc,bats les couilles,oo tg pierre me fais pas chier jmen blc de ta vie franchement,528
ftg,ferme ta gueule,teresa parle bien ftg,529
pk,pourquoi,alors pk tu lui envoy un message si tu ten fou bien dit,531
envoy,envoies,alors pk tu lui envoy un message si tu ten fou bien dit,531
ten,t'en,alors pk tu lui envoy un message si tu ten fou bien dit,531
fou,fous,alors pk tu lui envoy un message si tu ten fou bien dit,531
2,deux,pauline et pierre 2 grosses merdes qui parlent,532
phto,photo,bon la phto va etres poster,533
etres,être,bon la phto va etres poster,533
grv,grave,grv teresa t autant inutile que Mbendib,534
t,t'es,grv teresa t autant inutile que Mbendib,534
troisieme,troisième,plus une troisieme teresa,538
oyé,oyez,oyé tous repostez en story les photos de la negre,539
negre,nègre,oyé tous repostez en story les photos de la negre,539
coco,connaître,parle pas de prison quand tu coco pas mdrrr,544
mdrrr,mdr,parle pas de prison quand tu coco pas mdrrr,544
t,tu es,fatima t une grosse pute a part envoyez des nudes tu f rien,546
a,à,fatima t une grosse pute a part envoyez des nudes tu f rien,546
nudes,photos dénudées,fatima t une grosse pute a part envoyez des nudes tu f rien,546
f,fais,fatima t une grosse pute a part envoyez des nudes tu f rien,546
tkt,t'inquiète,si on a compris tkt,547
mdrr,mdr,mais mdrr pauline elle a tourné dans toute la france,548
mdrrr,mdr,mdrrr,549
cest,c'est,bon cest bon vs tourner en rond la depuis taleur,552
vs,vous,bon cest bon vs tourner en rond la depuis taleur,552
la,là,bon cest bon vs tourner en rond la depuis taleur,552
taleur,tout à l'heure,bon cest bon vs tourner en rond la depuis taleur,552
t,t'es,t trop jalouse qu aucun mec te trouves belle,556
qu,que,t trop jalouse qu aucun mec te trouves belle,556
a,à,a part insulter vs faites rien d'autres,557
vs,vous,a part insulter vs faites rien d'autres,557
c,c'est,"c, mdrr elle t belle $*",558
mdrr,mdr,"c, mdrr elle t belle $*",558
t,t'es,"c, mdrr elle t belle $*",558
oe,oui,oe grave il l'utilise c tout,559
c,c'est,oe grave il l'utilise c tout,559
eclater,éclater,toi eclater apr contre,560
apr,après,toi eclater apr contre,560
nan,non,nan pas le time bb,562
time,temps,nan pas le time bb,562
bb,bébé,nan pas le time bb,562
apres,après,apres cest moi qu est pas française,563
cest,c'est,apres cest moi qu est pas française,563
qu,qui,apres cest moi qu est pas française,563
mdrr,mdr,comme une prostitué qu'elle fait bien mdrr,564
c,c'est,pour toi c sa et pas plus,565
sa,ça,pour toi c sa et pas plus,565
geule,gueule,vos geule,566
maiis,mais,ptdr maiis fatima t'as vu ton orthographe,568
t,t'es,t dans notre pays et tu parle,569
mtn,maintenant,elle insulte sa pote mtn,571
c,c'est,moi c mon pays o moinh,574
o,au,moi c mon pays o moinh,574
moinh,moins,moi c mon pays o moinh,574
etre,être,et tout le monde devrait etre comme ça,575
premer,permets,donc je me premer cque je veux par apport atoi,576
cque,ce que,donc je me premer cque je veux par apport atoi,576
apport,rapport,donc je me premer cque je veux par apport atoi,576
atoi,à toi,donc je me premer cque je veux par apport atoi,576
ooo,oh,ooo nicolas tg,577
tg,ta gueule,ooo nicolas tg,577
bisoussssssssssssssssssssssssssss,bisous,bisoussssssssssssssssssssssssssss,578
ntm,nique ta mère,bon fatima on va te ntm tkt,579
tkt,t'inquiète,bon fatima on va te ntm tkt,579
ca,ça,ca veut rien dire ta phrase,580
fat,génial,tu peux pas savoir fat fat,581
fat,génial,tu peux pas savoir fat fat,581
meme,même,meme ton soutien se casse t'es seule,583
javoue,j'avoue,javoue tu sais pas tu parle meme pas francais,584
meme,même,javoue tu sais pas tu parle meme pas francais,584
francais,français,javoue tu sais pas tu parle meme pas francais,584
vs,vous,bon vs voulez pas vs reconcilier jy peut rien,585
vs,vous,bon vs voulez pas vs reconcilier jy peut rien,585
jy,j'y,bon vs voulez pas vs reconcilier jy peut rien,585
démarre,démolir,et nous on te démarre,586
mdrrrrr,mdr,mdrrrrr theo qui abandonne,588
tkt,t'inquiète,"tkt t'auras son cul quand meme vu comment elle l'expose ""les ploucs"" mdrrrrrrrrrrrrrrrr",590
quand meme,quand même,"tkt t'auras son cul quand meme vu comment elle l'expose ""les ploucs"" mdrrrrrrrrrrrrrrrr",590
mdrrrrrrrrrrrrrrr,mdr,"tkt t'auras son cul quand meme vu comment elle l'expose ""les ploucs"" mdrrrrrrrrrrrrrrrr",590
meres,mères,retournez dans votre ferme traire vos meres,591
l'unitilité,l'inutilité,si l'unitilité etait une personne,592
time,délire,moi et fatima on n'a pas votre time dsl,593
dsl,désolé,moi et fatima on n'a pas votre time dsl,593
t'as,tu as,t'as cru t'as dead ça?,594
t'as,tu as,t'as cru t'as dead ça?,594
dead,géré,t'as cru t'as dead ça?,594
oe,oui,oe exactement,595
ptdrrrr,pété de rire,ptdrrrr punshline éclatées cousine oula non pas cousine esclave,596
punshline,punchline,ptdrrrr punshline éclatées cousine oula non pas cousine esclave,596
c,s'est,elle c cru sur skyrock la :b,599
la,là,elle c cru sur skyrock la :b,599
:b,tire la langue / moqueur,elle c cru sur skyrock la :b,599
tete,peut-être,tete qu'elle a parle ps avk moi grosse pute,600
ps,pas,tete qu'elle a parle ps avk moi grosse pute,600
avk,avec,tete qu'elle a parle ps avk moi grosse pute,600
ps,pas,façon j'veux ps d'une crasseuse comme toi,601
fat,gros,la vie t'es fat ima,605
bizzarement,bizarrement,bizzarement ils insultent moins la,606
meme,même,c'est une clocharde en meme temps,608
paît,plaît,S'il te paît arrête.,609
meme,même,ils ont meme pas d'interet a t'insulter,610
a,à,ils ont meme pas d'interet a t'insulter,610
c,c'est,c pas dans ton dos chuis en face,611
chuis,je suis,c pas dans ton dos chuis en face,611
oe,ouais,oe je sais,615
tg,ta gueule,bon tg tu parles trop,618
enfaite,en fait,enfaite les gars vous savez pas harceler,625
trahisonnnnnnnnn,trahison,trahisonnnnnnnnn,626
etees,êtes,vous etees des breles,627
t'es,tu es,coralie ferme ta gueule toi aussi t'es une petasse,631
