source,target,context,text_index
oue,ouais,oue oue ca va les pds,2000
oue,ouais,oue oue ca va les pds,2000
ca,ça,oue oue ca va les pds,2000
pds,pédés,oue oue ca va les pds,2000
polognais,polonais,si polognais,2001
waaa,waouh,waaa mais franchement j'allucine vous vous rende compte de ce que vous dites ?,2002
j'allucine,j'hallucine,waaa mais franchement j'allucine vous vous rende compte de ce que vous dites ?,2002
degoutez,dégoûtez,vraiment vous degoutez les 2 personnes vous a appris la normalité,2003
2,deux,vraiment vous degoutez les 2 personnes vous a appris la normalité,2003
la,là,la en fait je crois pas qu'on pourai devenir ami vous êtes en fait homophobes et nazi,2004
etre,être,personne veut etre ami avec toi tqt elle va vouloir nous pecho la collg,2005
tqt,t'inquiète,personne veut etre ami avec toi tqt elle va vouloir nous pecho la collg,2005
pecho,draguer,personne veut etre ami avec toi tqt elle va vouloir nous pecho la collg,2005
collg,collègue,personne veut etre ami avec toi tqt elle va vouloir nous pecho la collg,2005
collegue,collègue,collegue,2007
a,à,alors ton père était le premier a se doucher avec des hommes,2008
oe,oui,oe en auschwitz et il suce hitler,2012
boubou,imbéciles,les boubou ?,2014
nan,non,nan je suis pas nazi,2015
ba,bah,ba alors pourquoi tu fais des blagues nazies ?,2017
cunt,connasse,cunt,2020
xénophoque,xénophobe,"tu réuni en fait tous les vices du monde c'est ça Emilie ? nazi, xénophoque et homophobe ? tu aurais pas inventé la pizza à l'ananas aussi ?",2021
pence,pense,je pence que Emilie a plus rien a dire,2022
mdrrrr,mdr,mdrrrr prenez rdv avec votre donneur de sperm avant de venir nous faire chier,2023
rdv,rendez-vous,mdrrrr prenez rdv avec votre donneur de sperm avant de venir nous faire chier,2023
sperm,sperme,mdrrrr prenez rdv avec votre donneur de sperm avant de venir nous faire chier,2023
ca,ça,schmutzig schwul ca veut dire sale gay en allemend,2024
allemend,allemand,schmutzig schwul ca veut dire sale gay en allemend,2024
a,à,elle a rien d'autre a faire,2026
pu,plus,Stéphane lui aussi était raciste et depuis qu'il fait du skate et bien il est pu raciste,2027
ca,ça,pas les bites ca c sur,2028
c,c'est,pas les bites ca c sur,2028
magnifestations,manifestations,passion des fiottes aller twerker dans une église et pleurer pendant les magnifestations gay,2029
l'entré,l'entrée,c'est sur qu'à l'entré de l'église il doit pas te faire rentrer le videur,2030
l'eglise,l'église,fais pas des blagues sur l'eglise dieu il a cree adam et eve tu leches des filles t'as pas honte,2034
cree,créé,fais pas des blagues sur l'eglise dieu il a cree adam et eve tu leches des filles t'as pas honte,2034
leches,lèches,fais pas des blagues sur l'eglise dieu il a cree adam et eve tu leches des filles t'as pas honte,2034
jss,je suis,jss d'accord avec Emilie,2036
bas,bat,on se bas avec des gods ceintures,2037
gods,godes,on se bas avec des gods ceintures,2037
permit,permis,dieu il a nous a permit de nous reproduire mais pas entre meme sexe,2040
meme,même,dieu il a nous a permit de nous reproduire mais pas entre meme sexe,2040
etait,était,il etait pas d'accord avec les pédales non plus,2041
c,c'est,un genocide c pire que ca?,2043
ca,ça,un genocide c pire que ca?,2043
t'as cas,t'as qu'à,t'as cas pas t'afficher sur les réseaux si t pas contente,2045
t,t'es,t'as cas pas t'afficher sur les réseaux si t pas contente,2045
des que,dès que,des que vous sortez dans la rue tt le monde vous regarde bizzar allez sauter non,2050
tt,tout,des que vous sortez dans la rue tt le monde vous regarde bizzar allez sauter non,2050
bizzar,bizarre,des que vous sortez dans la rue tt le monde vous regarde bizzar allez sauter non,2050
etes,êtes,vous etes les regetté de ce monde et vous continuez vous comprenez pas que vous etes bizzard,2053
regetté,regretté,vous etes les regetté de ce monde et vous continuez vous comprenez pas que vous etes bizzard,2053
etes,êtes,vous etes les regetté de ce monde et vous continuez vous comprenez pas que vous etes bizzard,2053
bizzard,bizarre,vous etes les regetté de ce monde et vous continuez vous comprenez pas que vous etes bizzard,2053
stp,s'il te plaît,allez faire une anne frank et cachez vous de notre existence dans une cave stp,2054
etes,êtes,les gens qui soutiennent les gays vous etes bizzare,2056
bizzare,bizarre,les gens qui soutiennent les gays vous etes bizzare,2056
pk,pourquoi,pk nous on assume pas ?,2058
ba,bah,sinon ba on vi dans sa famille pis on vois personne d'autre ba oui j'ai l'impression parce que generalement les gens qui ont problème avec ce genre de chose c'est qu'il aimerait mais qu'ils peuvent pas,2059
vi,vit,sinon ba on vi dans sa famille pis on vois personne d'autre ba oui j'ai l'impression parce que generalement les gens qui ont problème avec ce genre de chose c'est qu'il aimerait mais qu'ils peuvent pas,2059
ba,bah,sinon ba on vi dans sa famille pis on vois personne d'autre ba oui j'ai l'impression parce que generalement les gens qui ont problème avec ce genre de chose c'est qu'il aimerait mais qu'ils peuvent pas,2059
generalement,généralement,sinon ba on vi dans sa famille pis on vois personne d'autre ba oui j'ai l'impression parce que generalement les gens qui ont problème avec ce genre de chose c'est qu'il aimerait mais qu'ils peuvent pas,2059
revandiquer,revendiquer,juste que vous vous sentez obligé de revandiquer le fait que vous etes lesbiennes cest genant,2061
etes,êtes,juste que vous vous sentez obligé de revandiquer le fait que vous etes lesbiennes cest genant,2061
cest,c'est,juste que vous vous sentez obligé de revandiquer le fait que vous etes lesbiennes cest genant,2061
genant,gênant,juste que vous vous sentez obligé de revandiquer le fait que vous etes lesbiennes cest genant,2061
cqfd,ce qu'il fallait démontrer,alors CQFD c'est vous les gays et puis si vous l'étiez ça me dérangerai pas parce que je suis une nazi tu va voir quand la maitresse apprendra que vous êtes nazi et la police,2062
tg,ta gueule,aller tg,2063
1,un,trop bien au moins plus de pedale d'ici 1 mois vive zemmour!!!,2069
!!!,!,trop bien au moins plus de pedale d'ici 1 mois vive zemmour!!!,2069
jaccepte,j'accepte,jaccepte tout,2073
ya,il y a,en vrai je trouve que ya casi aucune difference entre les gays et les gens normaux,2075
casi,quasi,en vrai je trouve que ya casi aucune difference entre les gays et les gens normaux,2075
difference,différence,en vrai je trouve que ya casi aucune difference entre les gays et les gens normaux,2075
bz,baiser,on choisi qui on bz par contre,2076
bas,bah,Bas visiblement être conne c ta fierté Elodie,2077
c,c'est,Bas visiblement être conne c ta fierté Elodie,2077
ca,ça,moi je dis ca regle en tete,2078
regle,règle,moi je dis ca regle en tete,2078
tete,tête,moi je dis ca regle en tete,2078
quelques choses,quelque chose,Au moins elle aura quelques choses a faire,2081
a,à,Au moins elle aura quelques choses a faire,2081
mioi,moi,mioi je suuis hetero donc je suuis normale et jen suuis fiere,2082
suuis,suis,mioi je suuis hetero donc je suuis normale et jen suuis fiere,2082
hetero,hétéro,mioi je suuis hetero donc je suuis normale et jen suuis fiere,2082
suuis,suis,mioi je suuis hetero donc je suuis normale et jen suuis fiere,2082
jen,j'en,mioi je suuis hetero donc je suuis normale et jen suuis fiere,2082
suuis,suis,mioi je suuis hetero donc je suuis normale et jen suuis fiere,2082
fiere,fière,mioi je suuis hetero donc je suuis normale et jen suuis fiere,2082
si non,sinon,si non elle s’ennuie,2084
c,c'est,mais c pas une fierte qu'un garcon suce des zizi,2086
fierte,fierté,mais c pas une fierte qu'un garcon suce des zizi,2086
garcon,garçon,mais c pas une fierte qu'un garcon suce des zizi,2086
d'etre,d'être,en quoi c'est normal d'etre une gamine irrespectueuse homophobe ?,2087
nis,nique,nis dune chatte,2088
dune,d'une,nis dune chatte,2088
tg,ta gueule,tg,2089
t,t'es,caroline t conne ou quoi,2091
aguments,arguments,ils ont tellement peu d'aguments qu'ils font pitié,2095
drole,drôle,vraiment c'est drole,2096
c,c'est,c drole dinsulter des maxi zoulettes comme vous,2099
drole,drôle,c drole dinsulter des maxi zoulettes comme vous,2099
dinsulter,d'insulter,c drole dinsulter des maxi zoulettes comme vous,2099
zoulettes,jeunes filles,c drole dinsulter des maxi zoulettes comme vous,2099
ca,ça,et ca frole l'homosexualité refoulée comme dirait l'amour de ma vie aml,2100
aml,amour de ma vie,et ca frole l'homosexualité refoulée comme dirait l'amour de ma vie aml,2100
nimporte,n'importe,nimporte quoi,2101
drole,drôle,c'est drole d'avoir en face de soi un gamin de 4 ans qui se croit drole,2103
drole,drôle,c'est drole d'avoir en face de soi un gamin de 4 ans qui se croit drole,2103
