source,target,context,text_index
tt,tout,de tt facon c'est tro tard elle est postée,3881
facon,façon,de tt facon c'est tro tard elle est postée,3881
tro,trop,de tt facon c'est tro tard elle est postée,3881
jppp,j'en peux plus,jppp pauline je suis ton ami alors j'essaie de calmer la situation,3883
:),sourire,theresa  avoue :),3884
chiotte,toilette,la dignité partie au chiotte...,3889
meme,même,une photo meme postée ca s'efface nous prenez pas pour des cons 😤,3890
ca,ça,une photo meme postée ca s'efface nous prenez pas pour des cons 😤,3890
jpp,j'en peux plus,jpp tu t'auto-respectes nous on respecte  pas les mechants,3891
meme,même,meme en ouvrant les yeux,3893
oooooh,oh,oooooh,3895
ca,ça,bon allez supprimez moi ca,3896
ca,ça,nah justement pauline efface la comme ca tu le verra plus ohlala$,3897
ca,ça,une photo sur le net ca part pas mm si on voulait,3898
mm,même,une photo sur le net ca part pas mm si on voulait,3898
cq,c'est quoi,vous voulez que je me jette d'un immeuble c'est cq?,3899
ca,ça,pauline supprime ca t'apporte quoi serieux ?,3900
serieux,sérieux,pauline supprime ca t'apporte quoi serieux ?,3900
ca,ça,ca*,3901
tg,ta gueule,Tg Thérèsa,3905
🙄,exaspération,mais bien sur que si 🙄puis tait toi theresa toi t'es juste un petit toutou derrière pauline qui se cache derrière son ordi,3907
tait,tais,mais bien sur que si 🙄puis tait toi theresa toi t'es juste un petit toutou derrière pauline qui se cache derrière son ordi,3907
ordi,ordinateur,mais bien sur que si 🙄puis tait toi theresa toi t'es juste un petit toutou derrière pauline qui se cache derrière son ordi,3907
deja,déjà,Deja a partir du moment ou tu t'appelles Thérésa t'as pas le droit a la parole,3909
ou,où,Deja a partir du moment ou tu t'appelles Thérésa t'as pas le droit a la parole,3909
a,à,Deja a partir du moment ou tu t'appelles Thérésa t'as pas le droit a la parole,3909
c,c'est,les ecoutes pas c juste des gros cons,3910
vs,vous,Vs exagérez,3911
popoopooo,popopop,popoopooo Lucas yessss,3912
yessss,yes,popoopooo Lucas yessss,3912
reponse,réponse,bon francois on attend ta reponse pour l'immeuble,3915
arrete,arrête,Pauline t'abuses arrete toi srx,3916
srx,sérieux,Pauline t'abuses arrete toi srx,3916
etre,être,C'est vrai qu'on force peut etre un peu mais c'est si drole,3918
drole,drôle,C'est vrai qu'on force peut etre un peu mais c'est si drole,3918
sis,suis,je sis dd'aéccord c'est pas drole ferme la,3919
dd'aéccord,d'accord,je sis dd'aéccord c'est pas drole ferme la,3919
t,t',laisse le il t a rien fait supprime la taphoto,3920
taphoto,ta photo,laisse le il t a rien fait supprime la taphoto,3920
y,il y,y a rien de drole Theresa,3922
drole,drôle,y a rien de drole Theresa,3922
ecoutes,écoutes,mais non francois les ecoutes pas c eux les nuls ils ont que ca a faire de leur vie,3929
c,c'est,mais non francois les ecoutes pas c eux les nuls ils ont que ca a faire de leur vie,3929
ca,ça,mais non francois les ecoutes pas c eux les nuls ils ont que ca a faire de leur vie,3929
okkkk,ok,Okkkk cest bon vous me faites chier je vais poster encore plus de photo de mon petit cheri francois,3931
cest,c'est,Okkkk cest bon vous me faites chier je vais poster encore plus de photo de mon petit cheri francois,3931
ouaaaissssss,ouais,Ouaaaissssss,3933
c,c'est,Theo la prochaine fois que tu dis un truc pareil je te fais gouter au tarmac c bon ?,3934
meme,même,de notre point de vue c'est quand meme vachement drole,3938
meme,même,et meme n importe qui d autre qui parle mal de Francois,3940
francois,françois,et meme n importe qui d autre qui parle mal de Francois,3940
etre,être,Mon poing dans ta gueule va etre tout aussi drole Théo,3943
drole,drôle,Mon poing dans ta gueule va etre tout aussi drole Théo,3943
faccon,façon,de toute facon vous 2 je vous reglerais votre compte,3944
2,deux,de toute facon vous 2 je vous reglerais votre compte,3944
reglerais,réglerais,de toute facon vous 2 je vous reglerais votre compte,3944
srx,sérieux,fermez la srx,3949
2,deux,tu peux pas courir 2 secs sans etre essoufle,3951
secs,secondes,tu peux pas courir 2 secs sans etre essoufle,3951
etre,être,tu peux pas courir 2 secs sans etre essoufle,3951
essoufle,essoufflé,tu peux pas courir 2 secs sans etre essoufle,3951
ficello,idiot,theresa t'es un ficello juste tais toi,3952
mdrr,mdr,mdrr tu vas regler rie,3953
rie,rien,mdrr tu vas regler rie,3953
mere,mère,Et ta mere elle peut courir 2sec aussi sans etre essoufles?,3956
2sec,deux secondes,Et ta mere elle peut courir 2sec aussi sans etre essoufles?,3956
etre,être,Et ta mere elle peut courir 2sec aussi sans etre essoufles?,3956
loolllllllll,lol,"Qui dit ""karma"" ?? Loolllllllll",3959
tkt,t'inquiète,tkt la police saura etre plus efficace que moi,3967
meme,même,meme la police va rigoler à ce niveau la,3971
la,là,meme la police va rigoler à ce niveau la,3971
jai,j'ai,bon francois.... jai pas eu ta reponse pour l'imeuble mdrrrrr,3972
reponse,réponse,bon francois.... jai pas eu ta reponse pour l'imeuble mdrrrrr,3972
imeuble,immeuble,bon francois.... jai pas eu ta reponse pour l'imeuble mdrrrrr,3972
mdrrrrr,mdr,bon francois.... jai pas eu ta reponse pour l'imeuble mdrrrrr,3972
ca,ça,ca vous avance a quoi de faire des choses comme ca ?? vous pensez etre superieurs mais vous etes juste des petites merdes,3974
a,à,ca vous avance a quoi de faire des choses comme ca ?? vous pensez etre superieurs mais vous etes juste des petites merdes,3974
ca,ça,ca vous avance a quoi de faire des choses comme ca ?? vous pensez etre superieurs mais vous etes juste des petites merdes,3974
etre,être,ca vous avance a quoi de faire des choses comme ca ?? vous pensez etre superieurs mais vous etes juste des petites merdes,3974
etes,êtes,ca vous avance a quoi de faire des choses comme ca ?? vous pensez etre superieurs mais vous etes juste des petites merdes,3974
c,c'est,Les flics c des merdes il nous retrouveront jamais je suis sous VPN MDRRRRRR,3977
mdrrrrrr,mdr,Les flics c des merdes il nous retrouveront jamais je suis sous VPN MDRRRRRR,3977
mdrrr,mdr,mdrrr cest toi le petit puceau fragile qui parle,3979
cest,c'est,mdrrr cest toi le petit puceau fragile qui parle,3979
jai,j'ai,En fait jai changé d'avis.,3983
ca,ça,CA VOUS PLAIT DE FAIRE SOUFFRIR DES PERSONNES,3987
tkt,t'inquiète,tkt pauline tu vas avoir ce que tu merites,3990
mdrrrr,mdr,mdrrrr,3993
etre,être,ça va etre dangereux à son atterrissage,3997
mdrr,mdr,oui mdrr faut pas qui tu des gens en bas,3999
tu,tue,oui mdrr faut pas qui tu des gens en bas,3999
a,à,theo: fais gaffe a ton cul,4001
1,une,juste 1 question est repondez-y : ca vous apporte quoi de faire ca ?,4004
repondez-y,répondez-y,juste 1 question est repondez-y : ca vous apporte quoi de faire ca ?,4004
ca,ça,juste 1 question est repondez-y : ca vous apporte quoi de faire ca ?,4004
ca,ça,juste 1 question est repondez-y : ca vous apporte quoi de faire ca ?,4004
funs,divertissements,je connais d autres funs vous avez pas besoin de faire ca,4008
ca,ça,je connais d autres funs vous avez pas besoin de faire ca,4008
yessss,yes,Donc tu sous-entends que tu vas sauter Francois? YESSSS,4010
ca,ça,pierre ca te fais pas kiffer de voir ce genre de petites merdes pleurer,4012
ou,où,il est ou le fun ??? Y'A QUOI DE FUN DANS LE FAIT DE FAIRE SOUFFIR UNE PERSONNE EN SE MOQUANT D'ELLE ????!!!!,4013
pk,pourquoi,pk ca me ferais kiffer ?!!,4015
ca,ça,pk ca me ferais kiffer ?!!,4015
kiffer,aimer,pk ca me ferais kiffer ?!!,4015
miiiiiiiiiiiiiiiiiiiiiiiiiiiiich,mich,Yo miiiiiiiiiiiiiiiiiiiiiiiiiiiich,4017
fatiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,fati,fatiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,4018
c,c'est,C toi ki parl,4020
ki,qui,C toi ki parl,4020
parl,parles,C toi ki parl,4020
vazi,vas-y,mais vazi srx,4021
srx,sérieux,mais vazi srx,4021
fotos,photos,d'où t'as été mettre mes fotos tepu va,4022
tepu,pute,d'où t'as été mettre mes fotos tepu va,4022
m'parle,me parle,hey! tu m'parle autrement la grosse!,4023
t,t'es,t kune pute,4024
kune,qu'une,t kune pute,4024
tfk,tu fais quoi,tfk jenny,4025
t,tu es,et bah quoi T pas contente? m'en fout,4026
fout,fous,et bah quoi T pas contente? m'en fout,4026
pq,pourquoi,pq tu postes des fotos de mwa à poil wsh,4027
fotos,photos,pq tu postes des fotos de mwa à poil wsh,4027
mwa,moi,pq tu postes des fotos de mwa à poil wsh,4027
wsh,wesh,pq tu postes des fotos de mwa à poil wsh,4027
ta,tu as,ta pas dvi?,4028
dvi,de vie,ta pas dvi?,4028
att,attends,att c qui qui poste des photos de ki a poil,4029
c,c'est,att c qui qui poste des photos de ki a poil,4029
ki,qui,att c qui qui poste des photos de ki a poil,4029
a,est,att c qui qui poste des photos de ki a poil,4029
put,putain,c'est cette put de Martine qui a pris des fotos de moi,4030
fotos,photos,c'est cette put de Martine qui a pris des fotos de moi,4030
pdt,pendant,pdt le voyage,4031
pk,pourquoi,pk tu fais ca meuf,4034
ca,ça,pk tu fais ca meuf,4034
dou,d'où,dou elle etait dans ta douche,4035
slt,salut,hey! slt Juju!,4040
stp,s'il te plaît,mais d'où tu parles le micropenis stp,4042
faurdrait,faudrait,et pour aimer ton cul faurdrait etre aveugle la grosse,4043
etre,être,et pour aimer ton cul faurdrait etre aveugle la grosse,4043
calmmmmmm,calme,on se calmmmmmm,4044
pq,pourquoi,pq tu me mattes sous la douche alors?,4045
c,c'est,c toi la pute et tu m parle pas comme ca,4052
m,me,c toi la pute et tu m parle pas comme ca,4052
ca,ça,c toi la pute et tu m parle pas comme ca,4052
t,tu es,t raciste ou ca se passe comment en fait martine,4054
ca,ça,t raciste ou ca se passe comment en fait martine,4054
ca,ça,on ne resoud rien comme ca,4055
pb,problème,bah quoi? l'étrangère a un pb?,4057
ducoup,du coup,ducoup elle me suce,4058
voudraizetn,voudraient,T'a raison ils voudraizetn pas d'elle,4060
hahahahahahahahahahahahaha,rire,hahahahahahahahahahahahaha,4064
t,tu es,t une comique toi,4065
mere,mère,bah la mere d'une grosse moche doit etre grosse moche,4066
etre,être,bah la mere d'une grosse moche doit etre grosse moche,4066
kiffer,aimer,en attendant il a l'air de kiffer ma mère Jules...,4068
kes,qu'est-ce,kes tu dis,4069
jmange,je mange,jmange ta mere surtout,4070
cest,c'est,cest elle qui me kiffe,4071
tut',tu te,hey toi tut'la ferme l'étrazngère! retourne dans ton pays de merde,4072
l'étrazngère,l'étrangère,hey toi tut'la ferme l'étrazngère! retourne dans ton pays de merde,4072
arrete,arrête,on arrete de manger tt le mponde la,4073
tt,tout,on arrete de manger tt le mponde la,4073
mponde,monde,on arrete de manger tt le mponde la,4073
c,c'est,bah c sa mere qui se met a 4 pattes devant luji,4075
mere,mère,bah c sa mere qui se met a 4 pattes devant luji,4075
a,à,bah c sa mere qui se met a 4 pattes devant luji,4075
crevrr,crever,va crevrr,4076
kif,aime,donc il kif les grosses moches,4077
oue,oui,oue ca doit etre ca,4079
ca,ça,oue ca doit etre ca,4079
etre,être,oue ca doit etre ca,4079
ca,ça,oue ca doit etre ca,4079
jore,genre,jore ton pere le chauve,4080
pere,père,jore ton pere le chauve,4080
d'ou,d'où,d'ou tu me parle? faudrait deja que tu perde 100 kg avant de me donner des ordres la grosse,4082
deja,déjà,d'ou tu me parle? faudrait deja que tu perde 100 kg avant de me donner des ordres la grosse,4082
triop,trop,Juju est triop bien pour ton cul de vache!,4084
tinsulte,tu n'insultes,tinsulte pas mon pays connasse,4085
c,c'est,ouais c ca la pute,4086
ca,ça,ouais c ca la pute,4086
v,vais,Je v vs boter le cul,4090
vs,vous,Je v vs boter le cul,4090
boter,botter,Je v vs boter le cul,4090
la,là,putain je pars la,4092
jen,j'en,jen ai mar de vous,4094
mar,marre,jen ai mar de vous,4094
ca,ça,ouais c ca fuyiez les putes,4095
jte,je te,jte parle mm pas,4098
mm,même,jte parle mm pas,4098
vs,vous,vs vs comportez vrmt trtop mals,4099
vs,vous,vs vs comportez vrmt trtop mals,4099
vrmt,vraiment,vs vs comportez vrmt trtop mals,4099
trtop,trop,vs vs comportez vrmt trtop mals,4099
mals,mal,vs vs comportez vrmt trtop mals,4099
c,c'est,c ca allez ciao les gosses putes,4101
ca,ça,c ca allez ciao les gosses putes,4101
dsl,désolé,dsl mais trop moches,4102
pâs,pas,fallait pâs poster des fotos de moi si tu voulais que je me calme,4103
fotos,photos,fallait pâs poster des fotos de moi si tu voulais que je me calme,4103
g,j'ai,g eu mal aux yeux,4104
t,t'es,salope ! tu t vu ?,4107
serieux,sérieux,serieux tu t'es vue pétasse,4110
a,à,tu ressemble a mon anus,4111
t,t',je t ai fait quoi pour que tu dises ça,4112
profs,professeurs,frère t'es là tu fais la lèche avec les profs,4114
arreté,arrêtez,arreté bande de conne vous avez cas travaillé,4115
cas,qu'à,arreté bande de conne vous avez cas travaillé,4115
travaillé,travailler,arreté bande de conne vous avez cas travaillé,4115
espece,espèce,espece de hassa boulette,4116
hassa,malveillant,espece de hassa boulette,4116
t,t'es,t grosse tu bouffe que des macdo,4117
macdo,mcdonald's,t grosse tu bouffe que des macdo,4117
a,à,tu commence a m'enerver,4121
m'enerver,m'énerver,tu commence a m'enerver,4121
etes,êtes,vous etes nul en cours et vous vous defoulez sur une meuf bcp mieux que vous,4123
bcp,beaucoup,vous etes nul en cours et vous vous defoulez sur une meuf bcp mieux que vous,4123
ptdrrr,pété de rire,ptdrrr alors si une grosse boule,4125
peutetre,peut-être,ben peutetre quelle a des probleme de santé et  alors ta pas a la traite comme sa,4126
quelle,qu'elle,ben peutetre quelle a des probleme de santé et  alors ta pas a la traite comme sa,4126
probleme,problème,ben peutetre quelle a des probleme de santé et  alors ta pas a la traite comme sa,4126
ta,tu as,ben peutetre quelle a des probleme de santé et  alors ta pas a la traite comme sa,4126
sa,ça,ben peutetre quelle a des probleme de santé et  alors ta pas a la traite comme sa,4126
tt,tout,tt a fait tu as qua maigrir,4128
a,à,tt a fait tu as qua maigrir,4128
qua,qu'à,tt a fait tu as qua maigrir,4128
svpppp,s'il vous plaît,svpppp!!!!,4130
euuuuh,euh,euuuuh y a pas mieux que nous en fait,4131
pfff,pff,pfff vous faites trop les meufs,4132
la,là,mais ferme la ta  vu ta gueule,4133
ta,t'as,mais ferme la ta  vu ta gueule,4133
ptit,petit,natacha elle va mourir si tu lui roulle dessus t'as t'es 3 ptit klebs,4135
klebs,chiens,natacha elle va mourir si tu lui roulle dessus t'as t'es 3 ptit klebs,4135
sa,ça,sa y est jsuis morte deja,4138
jsuis,je suis,sa y est jsuis morte deja,4138
deja,déjà,sa y est jsuis morte deja,4138
mieu,mieux,tant mieu,4140
ca,ça,"Elles sont juste immature de faire ca,  preuve que c'est des gamines",4141
tg,ta gueule,tg elisa,4142
sa,ça,zoé tu vaux mieux que sa,4143
c,c'est,c elle qui est venue nous dm donc on lui dit ce quon pense merdeee,4144
dm,message privé,c elle qui est venue nous dm donc on lui dit ce quon pense merdeee,4144
quon,qu'on,c elle qui est venue nous dm donc on lui dit ce quon pense merdeee,4144
merdeee,merde,c elle qui est venue nous dm donc on lui dit ce quon pense merdeee,4144
a,à,bah normal vous avez envoyé des photos a tout le monde je prends pas des photos de vous dans les vestiaires moi,4145
moin,moins,elle au moin  elle respect les gens,4146
maint,maintenant,ouais maint tkt on te vois pas derrire tes bourllet,4147
tkt,t'inquiète,ouais maint tkt on te vois pas derrire tes bourllet,4147
derrire,derrière,ouais maint tkt on te vois pas derrire tes bourllet,4147
bourllet,bourrelet,ouais maint tkt on te vois pas derrire tes bourllet,4147
beh,ben,beh oui elle est venu nous parler elle cherche la merde cette grosse,4149
contrairrement,contrairement,contrairrement a vous salle conne,4150
a,à,contrairrement a vous salle conne,4150
salle,sale,contrairrement a vous salle conne,4150
cava,ça va,cava bouboule ?,4152
beh,ben,beh ta qua arreter de faire des photos sexy qui sont pas fait pour toi,4153
ta,tu as,beh ta qua arreter de faire des photos sexy qui sont pas fait pour toi,4153
qua,qu'à,beh ta qua arreter de faire des photos sexy qui sont pas fait pour toi,4153
ta,tu as,et toi ta vu ta gueule,4154
:'),rire aux larmes,:') :') :') :') sexyyyy tout le contraire de zoe,4155
:'),rire aux larmes,:') :') :') :') sexyyyy tout le contraire de zoe,4155
:'),rire aux larmes,:') :') :') :') sexyyyy tout le contraire de zoe,4155
:'),rire aux larmes,:') :') :') :') sexyyyy tout le contraire de zoe,4155
sexyyyy,sexy,:') :') :') :') sexyyyy tout le contraire de zoe,4155
lau,l'ai,oui je lau vu ne tkt pas,4157
tkt,t'inquiète,oui je lau vu ne tkt pas,4157
s'etait,c'était,ah je croyais que s'etait des bourllets,4159
mieu,mieux,je suis 10 fois mieu foutu que elle bouffonne,4160
putin,putain,mais putin merde a la fin laissé la tranquille elle vous a rien fais,4161
bourlet,bourrelet,c'est toi le bourlet lucie,4163
moin,moins,elle au moin elle est pas conne comme vous bande de poufiasse,4164
jte,je te,jte fou un coup avec mes seins tu verras,4165
macdo,mcdonald's,va retourner manger macdo avec tes 3 menu signature,4166
3,trois,va retourner manger macdo avec tes 3 menu signature,4166
cest,c'est,cest pas des forme c de la graisse,4168
c,c'est,cest pas des forme c de la graisse,4168
ayaaaa,aya,ayaaaa sa tire a balle reel iciiiii,4171
sa,ça,ayaaaa sa tire a balle reel iciiiii,4171
a,à,ayaaaa sa tire a balle reel iciiiii,4171
reel,réel,ayaaaa sa tire a balle reel iciiiii,4171
iciiiii,ici,ayaaaa sa tire a balle reel iciiiii,4171
prefere,préfère,je prefere casser la balance,4172
poufiasse,femme vulgaire,ferme la marjorie t'es  qu'une poufiasse sans cervelle,4173
ca,ça,ah ben ca elle a que de la graisse en meme temps,4175
