source,target,context,text_index
faite,fait,mais en faite comme toutes les mamans enceintes,3458
tg,ta gueule,tg ton pere le chauve,3459
d'etre,d'être,c'est bien d'etre chauve,3460
nn,non,nn  c juiste la sienne elle est en surpoid comme celle a pierre,3461
c,c'est,nn  c juiste la sienne elle est en surpoid comme celle a pierre,3461
juiste,juste,nn  c juiste la sienne elle est en surpoid comme celle a pierre,3461
surpoid,surpoids,nn  c juiste la sienne elle est en surpoid comme celle a pierre,3461
a,à,nn  c juiste la sienne elle est en surpoid comme celle a pierre,3461
a,à,tu va au trampoline park tu passes a travers,3462
ca,ça,ca c de l'insulte mec franchement ferme la,3463
c,c'est,ca c de l'insulte mec franchement ferme la,3463
croix,tu crois,croix qu'être en surpoid rend différent un être humain ?!,3464
surpoid,surpoids,croix qu'être en surpoid rend différent un être humain ?!,3464
ducoup,du coup,bah un peu ducoup,3465
tdc,trou du cul,il ressemble ronflex ce tdc,3467
nn,non,nn vzy chuit dessoler,3469
vzy,vas-y,nn vzy chuit dessoler,3469
chuit,je suis,nn vzy chuit dessoler,3469
dessoler,désolé,nn vzy chuit dessoler,3469
c,c'est,c maintenant que tu texcuse,3470
texcuse,t'excuses,c maintenant que tu texcuse,3470
y as,il y a,y as toujours un bon moment,3471
lacher,lâcher,paul quand il va prendre une corde et un tabouret la corde elle va lacher,3476
meme,même,meme si sa mere elle mange tout le temp a mcdo,3477
mere,mère,meme si sa mere elle mange tout le temp a mcdo,3477
temp,temps,meme si sa mere elle mange tout le temp a mcdo,3477
a,à,meme si sa mere elle mange tout le temp a mcdo,3477
ohh,oh,ohh ça va on peut un peu rigoler,3478
drole,drôle,Brice t'es pas drole,3480
qi,qui,pierre ta soeur la chauve souris et toi qi ressemble a un rongeur,3485
a,à,pierre ta soeur la chauve souris et toi qi ressemble a un rongeur,3485
meme,même,paul il voit meme pas sa teub de 2mm avec son gros ventre,3486
teub,pénis,paul il voit meme pas sa teub de 2mm avec son gros ventre,3486
ta,tu as,après julien on sait que ta était adopter pas besoin de te défouler sur paul,3487
sot,sont,ils subiront rien ils sot pas gros,3490
snap,snapchat,je cherche une meuf voila mon snap: paullegros,3491
fr,français,parle fr stp,3493
stp,s'il te plaît,parle fr stp,3493
t'es,tu es,Julien t'es juste jaloux,3494
batard,bâtard,ah le batard,3495
macdos,mcdonald's,de tous les macdos ?,3497
cringe,gênant,t'es cringe avec ton macdo,3498
macdo,mcdonald's,t'es cringe avec ton macdo,3498
t,t'es,julien calme toi on sait que tu t'assume pas et que t juste une merde,3499
es,as,es des arguments stp,3501
stp,s'il te plaît,es des arguments stp,3501
jvous,je vous,nah venez en vrai jvous envcule un par un bande de pedales,3503
envcule,encule,nah venez en vrai jvous envcule un par un bande de pedales,3503
pedales,pédales,nah venez en vrai jvous envcule un par un bande de pedales,3503
vasy,vas-y,bah vasy on t'attend julien,3506
ta,t'as,ta pas de bite julien tu peux pas,3507
mere,mère,ta mere elle la uce justine sucé,3509
uce,suce,ta mere elle la uce justine sucé,3509
fr,français,parle fr stp,3510
stp,s'il te plaît,parle fr stp,3510
</3,cœur brisé,</3 >.< X) D: =$,3511
>.<,gêne,</3 >.< X) D: =$,3511
x),clin d'œil,</3 >.< X) D: =$,3511
d:,tristesse,</3 >.< X) D: =$,3511
=$,gêne,</3 >.< X) D: =$,3511
batard,bâtard,personne ne voudra plus être mon ami  à cause de toi batard brice,3513
c,c'est,messi c un monstre frero,3515
frero,frère,messi c un monstre frero,3515
lycee,lycée,pas de soucis demain au lycee jtencule thibault,3516
jtencule,je t'encule,pas de soucis demain au lycee jtencule thibault,3516
tkt,t'inquiète,tkt Paul,3517
jte,je te,jte nik tes morts,3518
nik,nique,jte nik tes morts,3518
ftg,ferme ta gueule,ftg gros chien,3520
t,t'es,pierre t fou sale nicois de merde,3521
peties,petites,tu crois que toi on va te tacler sur tes peties imperfections,3524
parisienn,parisienne,ta soeur la parisienn qui prend 1-0 par un filou,3525
nik,nique,andy delort il te nik tes morts,3527
3a0,zéro,ta soeur la chauve qui prend des 3a0,3528
oiq,quoi,tu parle de oiq,3529
reuf,frère,de foot mon reuf,3530
a,à,la chatte a justine c'est la cage a costil,3532
a,à,la chatte a justine c'est la cage a costil,3532
bas,bah,bas tg alors julein je te fait bouffer ma big bite,3533
tg,ta gueule,bas tg alors julein je te fait bouffer ma big bite,3533
julein,julien,bas tg alors julein je te fait bouffer ma big bite,3533
zgeg,pénis,bulka pire gardien ce zgeg,3535
chibrax,pénis,mon enorme chibrax dans ta bouche julien,3536
tes,t'es,tes avec qui Paul srx,3537
