source,target,context,text_index
leo,léo,parle bien leo,4371
non,non,NOn la juive,4372
ntm,nique ta mère,ntm un peu laisse nous parler,4373
fdp,fils de pute,parle bien de ta bouche fdp,4376
ca,ça,ca se fait pas les gars,4377
c,c'est,c sur qu'avec tout votre argent,4380
frere,frère,frere c'est un gosse vous etes vilains,4381
etes,êtes,frere c'est un gosse vous etes vilains,4381
c,c'est,c le gosse qui est vilaint tema ca gueule,4382
tema,mate,c le gosse qui est vilaint tema ca gueule,4382
ca,ça,c le gosse qui est vilaint tema ca gueule,4382
bo,beau,il est pas bo,4384
8),sourire,rabi jacob 8),4385
deg,dégouté,t'es juste deg que tu puisses pas avoir une fête aussi stylée que lui,4387
stylée,classe,t'es juste deg que tu puisses pas avoir une fête aussi stylée que lui,4387
c,c'est,"Aurélie n'a que 16 ans et elle attend un enfant Ses amies et ses parents lui conseillent l'avortement Elle n'est pas d'accord elle voit les choses autrement Elle dit qu'elle se sent prête pour qu'on l'appelle ""maman"" Celui-ci c'est pour toutes les Aurélie Celles qui ont donné la vie Pour toutes les Aurélie c pas leurs faute lsl avaient pas le shoah",4389
lsl,elles,"Aurélie n'a que 16 ans et elle attend un enfant Ses amies et ses parents lui conseillent l'avortement Elle n'est pas d'accord elle voit les choses autrement Elle dit qu'elle se sent prête pour qu'on l'appelle ""maman"" Celui-ci c'est pour toutes les Aurélie Celles qui ont donné la vie Pour toutes les Aurélie c pas leurs faute lsl avaient pas le shoah",4389
shoah,choix,"Aurélie n'a que 16 ans et elle attend un enfant Ses amies et ses parents lui conseillent l'avortement Elle n'est pas d'accord elle voit les choses autrement Elle dit qu'elle se sent prête pour qu'on l'appelle ""maman"" Celui-ci c'est pour toutes les Aurélie Celles qui ont donné la vie Pour toutes les Aurélie c pas leurs faute lsl avaient pas le shoah",4389
t',tu,t'abuse de parler de shoa,4390
shoaa,shoah,t'abuse de parler de shoa,4390
fitjuive,foutue juive,juju fitjuive,4391
ca,ça,Pourquoi tu fais ca Léo ca va à la maison,4392
ca,ça,Pourquoi tu fais ca Léo ca va à la maison,4392
ntm,nique ta mère,ntm toi t'a meme pas de maison,4394
t'a,tu as,ntm toi t'a meme pas de maison,4394
meme,même,ntm toi t'a meme pas de maison,4394
meme,même,toi meme frere je t'ai vu sous un pont,4396
frere,frère,toi meme frere je t'ai vu sous un pont,4396
tg,ta gueule,tg,4397
mtn,maintenant,mtn laisse justine et on frere tranquille,4398
on,ton,mtn laisse justine et on frere tranquille,4398
frere,frère,mtn laisse justine et on frere tranquille,4398
oue,ouais,oue laisse les tranquille fr,4399
fr,frère,oue laisse les tranquille fr,4399
