source,target,context,text_index
jufes,juifs,bon je vous nique tout bande de noir jufes arabes terroristes boffeur de queu d ours,3001
boffeur,bouffeur,bon je vous nique tout bande de noir jufes arabes terroristes boffeur de queu d ours,3001
queu,queue,bon je vous nique tout bande de noir jufes arabes terroristes boffeur de queu d ours,3001
arrete,arrête,arrete de réagir comme ca ellian,3002
ca,ça,arrete de réagir comme ca ellian,3002
ouf,fou,de ouf,3003
bcp,beaucoup,lisa tu parles bcp pour une femme,3004
c,c'est,c quoi ton prb,3005
prb,problème,c quoi ton prb,3005
ca,ça,ca sert à rien,3006
ca,ça,et tu insultes tout le monde alors que tu n'es pas comme ca,3007
bl0quer,bloquer,BON ON PEUT LES BL0QUER LES FOU LA,3008
o,au,o pire chacun s'occupe de son trou ne vous parler plus ellian tu manquera a personne gros karma sur ta gueule j'èspère,3009
a,à,o pire chacun s'occupe de son trou ne vous parler plus ellian tu manquera a personne gros karma sur ta gueule j'èspère,3009
j'èspère,j'espère,o pire chacun s'occupe de son trou ne vous parler plus ellian tu manquera a personne gros karma sur ta gueule j'èspère,3009
tg,ta gueule,tg paul les gues n'ont pas le droit à la parole,3011
gues,gays,tg paul les gues n'ont pas le droit à la parole,3011
tsk,tu sais que,"Ellian tsk la prochaine fois que t'insulteras tu repenseras a ton pere le fdp qui prenais des bites dans son gros cul toute sa jeunesse et qui n'a jamais su te le dire car il avait peur de ton regarde, es parents ils s ont échangistes et ta pute de mere elle se fait taponner tous les soirs dans un club de striptease pour payer ton loyer. Avant d'insulter les homosexuels regarde tout ton arbre généalogiques t'as 3 grands peres dont deux noirs du coté de ta mere tellement ils aimaient les teubs d'africains",3012
t',tu,"Ellian tsk la prochaine fois que t'insulteras tu repenseras a ton pere le fdp qui prenais des bites dans son gros cul toute sa jeunesse et qui n'a jamais su te le dire car il avait peur de ton regarde, es parents ils s ont échangistes et ta pute de mere elle se fait taponner tous les soirs dans un club de striptease pour payer ton loyer. Avant d'insulter les homosexuels regarde tout ton arbre généalogiques t'as 3 grands peres dont deux noirs du coté de ta mere tellement ils aimaient les teubs d'africains",3012
a,à,"Ellian tsk la prochaine fois que t'insulteras tu repenseras a ton pere le fdp qui prenais des bites dans son gros cul toute sa jeunesse et qui n'a jamais su te le dire car il avait peur de ton regarde, es parents ils s ont échangistes et ta pute de mere elle se fait taponner tous les soirs dans un club de striptease pour payer ton loyer. Avant d'insulter les homosexuels regarde tout ton arbre généalogiques t'as 3 grands peres dont deux noirs du coté de ta mere tellement ils aimaient les teubs d'africains",3012
pere,père,"Ellian tsk la prochaine fois que t'insulteras tu repenseras a ton pere le fdp qui prenais des bites dans son gros cul toute sa jeunesse et qui n'a jamais su te le dire car il avait peur de ton regarde, es parents ils s ont échangistes et ta pute de mere elle se fait taponner tous les soirs dans un club de striptease pour payer ton loyer. Avant d'insulter les homosexuels regarde tout ton arbre généalogiques t'as 3 grands peres dont deux noirs du coté de ta mere tellement ils aimaient les teubs d'africains",3012
fdp,fils de pute,"Ellian tsk la prochaine fois que t'insulteras tu repenseras a ton pere le fdp qui prenais des bites dans son gros cul toute sa jeunesse et qui n'a jamais su te le dire car il avait peur de ton regarde, es parents ils s ont échangistes et ta pute de mere elle se fait taponner tous les soirs dans un club de striptease pour payer ton loyer. Avant d'insulter les homosexuels regarde tout ton arbre généalogiques t'as 3 grands peres dont deux noirs du coté de ta mere tellement ils aimaient les teubs d'africains",3012
regarde,regard,"Ellian tsk la prochaine fois que t'insulteras tu repenseras a ton pere le fdp qui prenais des bites dans son gros cul toute sa jeunesse et qui n'a jamais su te le dire car il avait peur de ton regarde, es parents ils s ont échangistes et ta pute de mere elle se fait taponner tous les soirs dans un club de striptease pour payer ton loyer. Avant d'insulter les homosexuels regarde tout ton arbre généalogiques t'as 3 grands peres dont deux noirs du coté de ta mere tellement ils aimaient les teubs d'africains",3012
es parents,tes parents,"Ellian tsk la prochaine fois que t'insulteras tu repenseras a ton pere le fdp qui prenais des bites dans son gros cul toute sa jeunesse et qui n'a jamais su te le dire car il avait peur de ton regarde, es parents ils s ont échangistes et ta pute de mere elle se fait taponner tous les soirs dans un club de striptease pour payer ton loyer. Avant d'insulter les homosexuels regarde tout ton arbre généalogiques t'as 3 grands peres dont deux noirs du coté de ta mere tellement ils aimaient les teubs d'africains",3012
s,sont,"Ellian tsk la prochaine fois que t'insulteras tu repenseras a ton pere le fdp qui prenais des bites dans son gros cul toute sa jeunesse et qui n'a jamais su te le dire car il avait peur de ton regarde, es parents ils s ont échangistes et ta pute de mere elle se fait taponner tous les soirs dans un club de striptease pour payer ton loyer. Avant d'insulter les homosexuels regarde tout ton arbre généalogiques t'as 3 grands peres dont deux noirs du coté de ta mere tellement ils aimaient les teubs d'africains",3012
mere,mère,"Ellian tsk la prochaine fois que t'insulteras tu repenseras a ton pere le fdp qui prenais des bites dans son gros cul toute sa jeunesse et qui n'a jamais su te le dire car il avait peur de ton regarde, es parents ils s ont échangistes et ta pute de mere elle se fait taponner tous les soirs dans un club de striptease pour payer ton loyer. Avant d'insulter les homosexuels regarde tout ton arbre généalogiques t'as 3 grands peres dont deux noirs du coté de ta mere tellement ils aimaient les teubs d'africains",3012
